measurement_date	name	metric_type	agency	numerator	denominator
2015-10-14	trips_scheduled	Count	CDR	42	
2015-11-09	trips_scheduled	Count	LE2	1	
2015-10-19	trips_scheduled	Count	SE2	4	
2015-12-02	trips_scheduled	Count	ND2	7	
2015-11-05	trips_scheduled	Count	PVT	16	
2016-01-14	trips_scheduled	Count	MP1	2	
2015-10-15	trips_scheduled	Count	LOG	557	
2015-10-20	trips_scheduled	Count	ND2	2	
2016-01-06	trips_scheduled	Count	PB1	2	
2015-10-28	trips_scheduled	Count	SE2	2	
2015-10-21	trips_scheduled	Count	CDR	44	
2015-12-03	trips_scheduled	Count	SE2	2	
2015-11-29	trips_scheduled	Count	LOG	42	
2016-01-09	trips_scheduled	Count	SR1	2	
2015-12-03	trips_scheduled	Count	CDR	57	
2015-11-05	trips_scheduled	Count	MR5	2	
2016-01-07	trips_scheduled	Count	MP1	4	
2015-10-21	trips_scheduled	Count	SE2	2	
2015-11-06	trips_scheduled	Count	SE2	2	
2015-11-18	trips_scheduled	Count	SK2	6	
2015-12-01	trips_scheduled	Count	TL1	3	
2015-12-29	trips_scheduled	Count	LOG	523	
2015-10-30	trips_scheduled	Count	MRC	1	
2015-12-15	trips_scheduled	Count	LOG	590	
2015-12-22	trips_scheduled	Count	CDS	14	
2015-10-14	trips_scheduled	Count	TL1	1	
2015-12-03	trips_scheduled	Count	PB1	2	
2015-12-08	trips_scheduled	Count	MID	1	
2015-11-07	trips_scheduled	Count	PVT	13	
2016-01-09	trips_scheduled	Count	MP1	2	
2015-12-08	trips_scheduled	Count	LOG	594	
2015-11-27	trips_scheduled	Count	MP1	2	
2015-10-30	trips_scheduled	Count	SE2	8	
2015-11-21	trips_scheduled	Count	PVT	12	
2015-12-15	trips_scheduled	Count	CDS	13	
2015-10-23	trips_scheduled	Count	PE1	2	
2016-01-13	trips_scheduled	Count	CDR	57	
2015-12-07	trips_scheduled	Count	PVT	17	
2016-01-04	trips_scheduled	Count	CDR	49	
2016-01-04	trips_scheduled	Count	MRC	2	
2015-12-05	trips_scheduled	Count	SY4	2	
2015-11-04	trips_scheduled	Count	LOG	496	
2015-11-04	trips_scheduled	Count	CDS	10	
2015-10-20	trips_scheduled	Count	HL1	1	
2015-11-30	trips_scheduled	Count	PVT	24	
2016-01-06	trips_scheduled	Count	CDR	53	
2015-12-04	trips_scheduled	Count	SK2	2	
2015-12-23	trips_scheduled	Count	SR3	2	
2015-12-24	trips_scheduled	Count	CDS	12	
2015-11-11	trips_scheduled	Count	CDS	10	
2015-12-09	trips_scheduled	Count	WC1	2	
2015-12-17	trips_scheduled	Count	TL1	1	
2015-12-06	trips_scheduled	Count	MP1	1	
2015-10-31	trips_scheduled	Count	MP1	2	
2015-10-13	trips_scheduled	Count	PVT	22	
2015-12-22	trips_scheduled	Count	SR1	4	
2015-12-22	trips_scheduled	Count	MP1	8	
2015-10-27	trips_scheduled	Count	PVT	12	
2015-10-24	trips_scheduled	Count	MP1	2	
2015-11-20	trips_scheduled	Count	CDS	12	
2016-01-15	trips_scheduled	Count	CDR	56	
2015-12-15	trips_scheduled	Count	MP1	4	
2015-10-12	trips_scheduled	Count	SE2	4	
2015-12-08	trips_scheduled	Count	MRC	1	
2015-11-16	trips_scheduled	Count	ND2	2	
2015-11-24	trips_scheduled	Count	SE2	4	
2015-11-02	trips_scheduled	Count	MP1	3	
2016-01-02	trips_scheduled	Count	LOG	48	
2015-10-20	trips_scheduled	Count	PVT	24	
2015-12-10	trips_scheduled	Count	CDR	55	
2015-12-27	trips_scheduled	Count	PVT	2	
2015-10-16	trips_scheduled	Count	CDR	47	
2016-01-01	trips_scheduled	Count	PVT	5	
2015-12-06	trips_scheduled	Count	LOG	29	
2015-11-25	trips_scheduled	Count	ND2	4	
2015-12-31	trips_scheduled	Count	MP1	3	
2015-11-19	trips_scheduled	Count	SR3	4	
2015-12-25	trips_scheduled	Count	MR4	2	
2015-12-13	trips_scheduled	Count	LOG	40	
2015-10-17	trips_scheduled	Count	LOG	88	
2015-11-25	trips_scheduled	Count	SR1	2	
2015-10-23	trips_scheduled	Count	BR3	4	
2016-01-07	trips_scheduled	Count	SR1	4	
2016-01-16	trips_scheduled	Count	SR1	2	
2015-12-11	trips_scheduled	Count	ND2	2	
2016-01-16	trips_scheduled	Count	MP1	3	
2015-11-18	trips_scheduled	Count	MP1	2	
2015-12-10	trips_scheduled	Count	TL1	2	
2015-12-22	trips_scheduled	Count	LOG	584	
2015-11-13	trips_scheduled	Count	SE2	2	
2015-12-19	trips_scheduled	Count	MRC	1	
2016-01-03	trips_scheduled	Count	PVT	2	
2015-11-30	trips_scheduled	Count	SR3	2	
2015-10-26	trips_scheduled	Count	LOG	488	
2015-12-07	trips_scheduled	Count	WC1	2	
