measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-12-17	Hold-NEMHS	HE6	0-30	5	456
2015-12-02	Hold-NEMHS	PB1	90-180	7	507
2016-01-17	Billed	MP1	30-60	21	1513
2015-11-26	Hold-NEMHS	PVT	0-30	269	20141.15
2015-12-10	Hold-NEMHS	PB1	90-180	11	807
2015-12-31	Write off	MID	30-60	4	192.64
2016-01-13	Hold-NEMHS	SR3	0-30	34	2885.4
2016-01-12	Manual Tracking	MID	0-30	1	67.19
2015-12-03	Manual Tracking	MP1	90-180	1	73
2015-12-25	Hold-NEMHS	HE6	0-30	4	479
2015-12-28	Hold-NEMHS	KE3	30-60	6	525.6
2015-11-28	Hold-NEMHS	FE4	180-365	8	688
2016-01-10	Billed	PVT	180-365	2	174
2015-12-20	Hold-NEMHS	KE3	30-60	6	525.6
2016-01-04	Manual Tracking	MID	0-30	1	0
2016-01-05	Hold-NEMHS	SR3	0-30	32	2122.75
2015-12-15	Write off	TL1	365+	1	15.55
2015-12-23	Manual Tracking	MP1	60-90	5	293
2015-12-06	Hold-NEMHS	FE4	180-365	8	688
2015-12-24	Hold-NEMHS	PVT	365+	35	4232.4
2016-01-02	Billed	PVT	180-365	2	174
2015-12-22	Hold-NEMHS	SK2	180-365	2	266
2015-11-25	Hold-NEMHS	MP1	0-30	60	4080
2015-12-16	Hold-NEMHS	PVT	365+	29	3681.6
2016-01-04	Hold-NEMHS	LR5	180-365	1	41
2015-12-07	Manual Tracking	LOG	365+	28	592.78
2016-01-16	Hold-NEMHS	SK2	180-365	2	266
2016-01-17	Write off	SG2	90-180	2	82
2015-12-09	Write off	BR7	30-60	6	318
2015-12-14	Hold-NEMHS	SK2	180-365	2	266
2015-12-17	Write off	BR7	30-60	4	212
2015-12-19	Write off	MID	60-90	2	94.59
2015-11-25	Hold-NEMHS	TL1	90-180	32	5179.34
2015-12-09	Write off	TL1	180-365	2	160.84
2016-01-12	Hold-NEMHS	SE2	30-60	12	530
2015-12-30	Hold-NEMHS	ND2	180-365	21	1405
2015-12-22	Write off	LOG	90-180	95	2018.46
2016-01-03	Hold-NEMHS	MRC	60-90	12	871.4
2016-01-17	Write off	LOG	365+	453	10501.89
2015-12-17	Write off	TL1	180-365	2	160.84
2015-12-19	Write off	SE2	365+	2	98
